MSKU Recipe Name,CSKU Name,CSKU Code,Ingredient Category,Gross Qty,UoM,MSKU Code,Characteristics
FV0090A - Ratatouille of zucchini and pepper [BNL],"FA-DE Zucchini, Diced 10mm /Zucchini, gewürfelt 10 mm",PHF-00-139229-3,PHF,79.36,grams,REC-013827-4-002,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,PHF,4.43,grams,REC-013827-4-004,"FISH_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Bell Peppers, Red, Diced 10mm /Paprika, rot, gewürfelt 10 mm",PHF-00-139179-3,PHF,45.26,grams,REC-013827-4-004,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,DAI,4.83,grams,REC-013827-4-004,VEGETARIAN
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben",DAI-00-139127-3,DAI,5.79,grams,REC-013827-4-004,
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Chives, Dried /Schnittlauch, getrocknet",SPI-00-139322-5,SPI,0.14,grams,REC-013827-4-004,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Fennel, Diced 10mm /Fenchel, gewürfelt 10 mm",PHF-00-139196-3,PHF,11.35,grams,REC-013827-4-004,"FISH_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,7.13,grams,REC-013827-4-004,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Garlic, Peeled, Whole Cloves [10kg] /Knoblauch, geschält, ganze Nelken [10kg]",PHF-00-139197-3,PHF,7.68,grams,REC-013827-4-004,"SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Grits, Cereal Hot, Quick /Grütze, Müsli, heiß, schnell",PRO-00-139264-5,PRO,25.18,grams,REC-013827-4-004,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],FA-DE Honey /Honig – Masse,PRO-00-139266-5,PRO,0.57,grams,REC-013827-4-004,"SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],FA-DE Mascarpone /Mascarpone,DAI-00-139143-3,DAI,9.66,grams,REC-013827-4-004,VEGETARIAN
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Milk, Semi-Skimmed /Milch, teilentrahmt",DAI-00-139139-3,DAI,115.86,grams,REC-013827-4-004,
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,6.13,grams,REC-013827-4-004,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Onion, Red, Diced 10mm/Zwiebeln, rot, gewürfelt, 10 mm",PHF-00-139216-3,PHF,24.18,grams,REC-013827-4-004,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Onion, Spanish, Diced 10mm /Zwiebel, Spanisch, gewürfelt 10 mm",PHF-00-139209-3,PHF,24.18,grams,REC-013827-4-004,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Parsley, Chopped /Petersilie, gehackt",PHF-00-139215-3,PHF,2.48,grams,REC-013827-4-004,"FISH_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Rosemary, IQF /Rosmarin, IQF",PHF-00-139243-1,PHF,0.31,grams,REC-013827-4-004,"SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,0.3,grams,REC-013827-4-004,"NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,1.93,grams,REC-013827-4-004,"NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
