Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.04,0.04,grams,,,0.98148,0.04,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,0.37,0.37,grams,,,0.98148,0.37,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.21,0.21,grams,,,0.98148,0.21,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Grits, Cereal Hot, Quick /Grütze, Müsli, heiß, schnell",PRO-00-139264-5,25.18,25.18,grams,,,0.86402,25.18,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.58,0.58,grams,,,0.86402,0.58,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Milk, Semi-Skimmed /Milch, teilentrahmt",DAI-00-139139-3,115.86,115.86,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,115.86,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben",DAI-00-139127-3,5.79,5.79,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,5.79,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Chives, Dried /Schnittlauch, getrocknet",SPI-00-139322-5,0.14,0.14,grams,,,0.86402,0.14,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Mascarpone /Mascarpone,DAI-00-139143-3,9.66,9.66,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,9.66,grams
FV0090A - Ratatouille of zucchini and pepper [BNL],REC-013827-4-002,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,4.83,4.83,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,4.83,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Parsley, Chopped /Petersilie, gehackt",PHF-00-139215-3,2.48,2.48,grams,,,0.86355,2.48,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Rosemary, IQF /Rosmarin, IQF",PHF-00-139243-1,0.31,0.31,grams,,,0.86355,0.31,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Onion, Spanish, Diced 10mm /Zwiebel, Spanisch, gewürfelt 10 mm",PHF-00-139209-3,24.18,24.18,grams,,,0.86355,24.18,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Fennel, Diced 10mm /Fenchel, gewürfelt 10 mm",PHF-00-139196-3,11.35,11.35,grams,,,0.86355,11.35,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Zucchini, Diced 10mm /Zucchini, gewürfelt 10 mm",PHF-00-139229-3,79.36,79.36,grams,,,0.86355,79.36,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",Basil - Picked Basil Leaves,SUB-013424-4-001,2.48,grams,"DEBOX, STAGING",,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,4.43,4.43,grams,,,0.55986,4.43,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Tomatoes, Diced, BiB/Tomaten, gewürfelt, BiB",PRO-00-139295-5,76.56,76.56,grams,,,0.86355,76.56,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Tomato Paste /Tomatenmark,PRO-00-139292-5,15.03,15.03,grams,,,0.86355,15.03,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",Roasted Garlic oil,SUB-013367-4-002,5.58,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,"FA-DE Garlic, Peeled, Whole Cloves [10kg] /Knoblauch, geschält, ganze Nelken [10kg]",PHF-00-139197-3,7.68,7.68,grams,,,0.415,7.68,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",Roasted Garlic oil,SUB-013367-4-002,5.58,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,5.76,5.76,grams,,,0.415,5.76,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Onion, Red, Diced 10mm/Zwiebeln, rot, gewürfelt, 10 mm",PHF-00-139216-3,24.18,24.18,grams,,,0.86355,24.18,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.09,0.09,grams,,,0.86355,0.09,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,1.31,1.31,grams,,,0.86355,1.31,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Bell Peppers, Red, Diced 10mm /Paprika, rot, gewürfelt 10 mm",PHF-00-139179-3,45.26,45.26,grams,,,0.86355,45.26,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,7.13,7.13,grams,SCHWEFELDIOXIDE UND SULFITE,,0.86355,7.13,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,FA-DE Honey /Honig – Masse,PRO-00-139266-5,0.57,0.57,grams,,,0.98148,0.57,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,FA-DE Sunflower Seeds /Sonnenblumenkerne,DRY-00-139172-5,8.99,8.99,grams,,,0.98148,8.99,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.04,0.04,grams,,,0.98148,0.04,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,0.37,0.37,grams,,,0.98148,0.37,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Sunflower seeds - Vegetable Ratatouille Toasted Seed Garnish,SUB-013826-4-001,10,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.21,0.21,grams,,,0.98148,0.21,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Grits, Cereal Hot, Quick /Grütze, Müsli, heiß, schnell",PRO-00-139264-5,25.18,25.18,grams,,,0.86402,25.18,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.58,0.58,grams,,,0.86402,0.58,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Milk, Semi-Skimmed /Milch, teilentrahmt",DAI-00-139139-3,115.86,115.86,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,115.86,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben",DAI-00-139127-3,5.79,5.79,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,5.79,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Chives, Dried /Schnittlauch, getrocknet",SPI-00-139322-5,0.14,0.14,grams,,,0.86402,0.14,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Mascarpone /Mascarpone,DAI-00-139143-3,9.66,9.66,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,9.66,grams
FV0090A - Ratatouille of zucchini and pepper [DE],REC-013827-4-004,Polenta less fat,SUB-031689-4-001,140,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,4.83,4.83,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.86402,4.83,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Parsley, Chopped /Petersilie, gehackt",PHF-00-139215-3,2.48,2.48,grams,,,0.86355,2.48,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Rosemary, IQF /Rosmarin, IQF",PHF-00-139243-1,0.31,0.31,grams,,,0.86355,0.31,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Onion, Spanish, Diced 10mm /Zwiebel, Spanisch, gewürfelt 10 mm",PHF-00-139209-3,24.18,24.18,grams,,,0.86355,24.18,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Fennel, Diced 10mm /Fenchel, gewürfelt 10 mm",PHF-00-139196-3,11.35,11.35,grams,,,0.86355,11.35,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Zucchini, Diced 10mm /Zucchini, gewürfelt 10 mm",PHF-00-139229-3,79.36,79.36,grams,,,0.86355,79.36,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",Basil - Picked Basil Leaves,SUB-013424-4-001,2.48,grams,"DEBOX, STAGING",,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,4.43,4.43,grams,,,0.55986,4.43,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Tomatoes, Diced, BiB/Tomaten, gewürfelt, BiB",PRO-00-139295-5,76.56,76.56,grams,,,0.86355,76.56,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Tomato Paste /Tomatenmark,PRO-00-139292-5,15.03,15.03,grams,,,0.86355,15.03,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",Roasted Garlic oil,SUB-013367-4-002,5.58,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,"FA-DE Garlic, Peeled, Whole Cloves [10kg] /Knoblauch, geschält, ganze Nelken [10kg]",PHF-00-139197-3,7.68,7.68,grams,,,0.415,7.68,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",Roasted Garlic oil,SUB-013367-4-002,5.58,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,5.76,5.76,grams,,,0.415,5.76,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Onion, Red, Diced 10mm/Zwiebeln, rot, gewürfelt, 10 mm",PHF-00-139216-3,24.18,24.18,grams,,,0.86355,24.18,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.09,0.09,grams,,,0.86355,0.09,grams
FV0090A - Ratatouille of zucchini and pepper [DKSE],REC-013827-4-003,Mixed veg - Ratatouille Vegetable Batch,SUB-013764-4-001,255,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,1.31,1.31,grams,,,0.86355,1.31,grams
