Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
43 ° Hot Water for Veg Marinade,SUB-032153-4-001,,,,,,,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,500,500,grams,,,,500,grams
43 °C Hot Water for Veg Marinade - NN,SUB-030479-4-001,,,,,,,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,0.71,0.71,grams,,,,0.71,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.28,0.28,grams,,,,0.28,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Paprika /Gewürze, Paprika",SPI-00-139373-5,1.7,1.7,grams,,,,1.7,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Chili Powder /Gewürz, Chilipulver",SPI-00-139340-5,2.27,2.27,grams,,,,2.27,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,8.79,8.79,grams,SCHWEFELDIOXIDE UND SULFITE,,,8.79,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,9.64,9.64,grams,,,,9.64,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,1.98,1.98,grams,,,,1.98,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,26.37,26.37,grams,,,,26.37,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.57,0.57,grams,,,,0.57,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Cayenne Pepper /Gewürz, Cayennepfeffer",SPI-00-139339-5,0.28,0.28,grams,,,,0.28,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Cumin Ground /Gewürz, gemahlener Kreuzkümmel",SPI-00-139345-5,1.42,1.42,grams,,,,1.42,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Sugar, Coconut /Zucker, Kokosnuss",DRY-00-139171-5,0.57,0.57,grams,,,,0.57,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Ancho Chili Powder /Gewürz, Ancho-Chili-Pulver",SPI-00-139329-5,2.27,2.27,grams,,,,2.27,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Guajillo Peppers, Ground /Gewürze, Guajillo-Paprikaschoten, gemahlen",SPI-00-139358-5,2.27,2.27,grams,,,,2.27,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.05,0.05,grams,,,0.98048,0.05,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Paprika /Gewürze, Paprika",SPI-00-139373-5,0.31,0.31,grams,,,0.98048,0.31,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Chili Powder /Gewürz, Chilipulver",SPI-00-139340-5,0.42,0.42,grams,,,0.98048,0.42,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,1.61,1.61,grams,SCHWEFELDIOXIDE UND SULFITE,,0.98048,1.61,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,1.77,1.77,grams,,,0.98048,1.77,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,0.36,0.36,grams,,,0.98048,0.36,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,4.83,4.83,grams,,,0.98048,4.83,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.1,0.1,grams,,,0.98048,0.1,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Cayenne Pepper /Gewürz, Cayennepfeffer",SPI-00-139339-5,0.05,0.05,grams,,,0.98048,0.05,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Cumin Ground /Gewürz, gemahlener Kreuzkümmel",SPI-00-139345-5,0.26,0.26,grams,,,0.98048,0.26,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Sugar, Coconut /Zucker, Kokosnuss",DRY-00-139171-5,0.1,0.1,grams,,,0.98048,0.1,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Ancho Chili Powder /Gewürz, Ancho-Chili-Pulver",SPI-00-139329-5,0.42,0.42,grams,,,0.98048,0.42,grams
