Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,10,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.02205,0.35274,0.02205,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,Garlic Broccoli - less salt,S,,55,grams,,SUB-014208-4-002,OVEN / BLAST CHILLER,"2ND COMPARTMENT
55g = broccoli 
",,,0.77149,1,SCOOP,blue,LEVEL,,,0.12125,2.51472,0.15717,PCK-00-151924-5,2nd,
FV0401A - Pulled chicken with cheddar and bacon [BNL],REC-013941-4-008,R,1,portions,Portobello - CBRSC Roasted Portobello's,S,,55,grams,,SUB-013717-4-001,OVEN / BLAST CHILLER,"3RD COMPARTMENT
55g = mushrooms 

NET WEIGHT: 330g",,,0.61956,1,SCOOP,green,LEVEL,,,0.12125,3.13135,0.19571,PCK-00-151924-5,3rd,

FV0401A - Pulled chicken with cheddar and bacon [DE],REC-013941-4-003,R,1,portions,Sauce - Crack Chicken Cheese Mix,S,,50,grams,,SUB-013714-4-001,PLANETARY MIXER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
50g = cream cheese mixture 
140g = chicken
10g = cheddar cheese
10g = crispy bacon
10g = green onions",MILCH (EINSCHLIESSLICH LAKTOSE),,0.98,1,SCOOP,yellow,LEVEL,,,0.11023,1.7997,0.11248,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DE],REC-013941-4-003,R,1,portions,Shredded chicken - Keto Crack Chicken Thigh Batch - Shredder,S,,140,grams,,SUB-013715-4-002,MARINADE / OVEN / HOT SHREDDER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.6309,1,SCOOP,white,LEVEL,,,0.30865,7.82751,0.48922,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DE],REC-013941-4-003,R,1,portions,"FA-DE Cheese, Red Cheddar/Käse, Roter Cheddar",I,DAI-00-139129-3,10,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,1,HAND_PORTIONED,Hand Portioned,BY_TRAY,,,0.02205,0.35274,0.02205,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DE],REC-013941-4-003,R,1,portions,Extra Crispy Diced Bacon,S,,10,grams,,SUB-013468-4-001,OVEN / DRAIN / BLAST CHILLER,,,,0.36735,1,SCOOP,purple,LEVEL,,,0.02205,0.96022,0.06001,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DE],REC-013941-4-003,R,1,portions,Roasted Green Onions,S,,10,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.77467,1,SCOOP,purple,LEVEL,,,0.02205,0.45534,0.02846,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DE],REC-013941-4-003,R,1,portions,Garlic Broccoli - less salt,S,,55,grams,,SUB-014208-4-002,OVEN / BLAST CHILLER,"2ND COMPARTMENT
55g = broccoli 
",,,0.77149,1,SCOOP,blue,LEVEL,,,0.12125,2.51472,0.15717,PCK-00-151924-5,2nd,
