"Factor ID","Internal SKU (Dutch)","Internal SKU (NOR)","Internal SKU (DE)","Meal Name","Meal Descriptor","Dutch name","Dutch Descriptor","Danish name","DE Name","BF Code","BF Name","Internal SKU Name","Internal Nordics SKU Name","Internal DE SKU Name","STATUS","STATUS NOTES","TOTAL PC1 COST","Last 3 Runs","US L3 Run Ratings","# of Ratings","LAST WEEK RAN","TOTAL TIMES RAN","MEAL WEIGHT (g)","CALORIES","FAT (g)","SAT FAT (g)","CARBS (g)","SUGARS (g)","FIBER (g)","PROTEIN (g)","SALT (g)","SPICY?","KETO","CALORIE SMART
(Caloriebewust)","CHEF'S CHOICE (not to tag)","VEGGIE","VEGAN","PROTEIN PLUS
(Eiwitrijk)","LACTOSE FREE","PORK FREE","PROTEIN TYPE","PROTEIN (GENERAL)","PROTEIN (TYPE)","SIDE 1","SIDE 2","SIDE 3","SIDE 4 / GARNISH","SEASONALITY","CUISINE","Reason for Slot + Details","CONTAINER","Cup","INGREDIENT COST","LABOR COST","PACKAGING COST","COMAN MARKUP","Import Scores Combined","BNL","NOR","Vegetable Quantity (Cooked)","Salmon","kJ","R&D type","Swedish name","DE","MAX MEAL COST","ENERGIE (kJ/100g)","ENERGY
(Kcal/100g)","FAT (g/100g)","SAT FAT (g/100g)","CARBS (g/100g)","SUGARS (g/100g)","FIBER (g/100g)","PROTEIN (g/100g)","SALT (g/100g)","Bonfait Testing Status"
"FE0047G","CON-40-143652-4","CON-00-147815-2","CON-00-136723-3","Beef & pepper casserole","with cheesy rice and green beans","Casserole met rundergehakt en paprika","met kazige rijst en sperziebonen","Oksekøds- og pebergryde ","Rindfleisch-Paprika-Auflauf ","565113","","FA-NL Casserole met rundergehakt & paprika (FE0047)","FA-NO Oksekøds- og pebergryde (FE0047)","FA-DE Rindfleisch-Paprika-Auflauf (FE0047)","Active","","€4.28","","","","","TRUE","449","544.0","22.40","8.9","54.4","10.1","13.2","23.90","1.81","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Ground beef","Beef","Ground","Rice","Pepper Mix","Green Beans","Cheese","Year Round","American","","2 CT","FALSE","€1.88","€1.15","€0.36","€0.89","3.22","3.00","2.88","247","FALSE","2,277.0","US","Köttgryta med paprika","3.19","2.88","","Active","FALSE","FALSE","507","121","5.0","2.0","12.1","2.2"
"FE0130C","CON-40-143737-4","CON-00-147820-2","CON-00-136635-3","Rice bowl with pulled chicken and taco spices","with black beans, corn salsa, and sour cream with coriander and lime","Mexicaanse stijl rijstbowl met kip","met zwarte bonen, maïssalsa, en zure room met koriander en limoen","Ris-bowl med pulled chicken og tacokrydderier","Mexikanisch Reis-Bowl mit Pulled Chicken und Taco-Gewürzen","565029","HF Pulled Chicken Taco Bowl 403g","FA-NL Mexicaanse stijl rijstbowl (FE0130)","FA-NO Ris-bowl med pulled chicken og tacokrydderier (FE0130)","FA-DE Mexikanische Reis-Bowl mit Hähnchen (FE0130)","Hold","","€4.27","5.35%","3.51","69151","","FALSE","407","548.0","19.10","7.3","55.0","9.0","11.0","33.00","1.79","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Shredded chicken","Chicken","Shredded","Rice","Pepper Mix","Corn Kernels","Cupped Sauce","Year Round","Mexican","","2 CT","TRUE","€2.06","€0.97","€0.39","€0.89","#REF!","#REF!","#REF!","153","FALSE","2,300.0","US","Ris-bowl med pulled chicken och tacokrydda","","","","Hold","FALSE","FALSE","","","","","",""
"FE0130D","CON-40-143737-4","CON-00-147820-2","CON-00-136635-3","Mexican style rice bowl with chicken","with black beans, corn salsa, and sour cream with coriander and lime","Mexicaanse stijl rijstbowl met kip ","met zwarte bonen, maïssalsa, en zure room met koriander en limoen","Mexicansk bowl med kylling og ris","Mexikanische Reis-Bowl mit Hähnchen","565029","Mexicaanse stijl rijstbowl met kip","FA-NL Mexicaanse stijl rijstbowl (FE0130)","FA-NO Ris-bowl med pulled chicken og tacokrydderier (FE0130)","FA-DE Mexikanische Reis-Bowl mit Hähnchen (FE0130)","Hold","","€4.74","","","","","TRUE","403","549.0","15.30","5.8","56.5","7.5","9.9","40.80","1.94","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Diced chicken","Chicken","PIeces","Rice","Pepper Mix","Corn Kernels","Cupped Sauce","Year Round","Mexican","","2 CT","TRUE","€2.25","€0.96","€0.39","€0.89","#REF!","#REF!","#REF!","142","FALSE","2,310.0","US","Mexikansk risbowl med kyckling","","","","Hold","FALSE","FALSE","","","","","",""
"FE0131C","CON-40-143757-4","CON-00-147822-2","CON-00-136625-3","Black bean bowl and enchilada sauce","with rice, grilled zucchini, corn and salsa verde","Zwarte bonenbowl en enchiladasaus","met rijst, gegrilde courgette, maïs en salsa verde","Mexikansk-inspireret bønnebowl ","Black Bean Bowl mit Enchiladasauce","565044","HF Black Bean & Rice Enchilada Bowl 400g","FA-NL Zwarte bonenbowl en enchiladasaus (FE0131)","FA-NO Mexikansk-inspireret bønnebowl (FE0131)","FA-DE Black Bean Bowl – mit Enchiladasauce (FE0131)","Active","","€4.17","","","","","TRUE","400","517.0","21.50","6.1","55.6","11.1","12.8","18.10","1.79","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Vegetarian","Vegetarian","Legumes","Rice","Black Beans","Corn Kernels","Zucchini Diced","Year Round","Mexican","","2 CT","TRUE","€1.88","€1.01","€0.39","€0.89","3.17","3.35","2.79","175","FALSE","2,163.0","US","Mexikansk-inspirerad bönbowl ","2.50","2.60","","Active","FALSE","FALSE","541","129","5.4","1.5","13.9","2.8"
"FE0224C","CON-40-143681-4","CON-00-147827-2","CON-00-136620-3","Chicken à la Florentine","with creamy polenta, garlic spinach and cauliflower","Kipfilet à la Florentine ","met romige polenta, knoflookspinazie en bloemkool","Kylling à la Florentine","Hähnchen à la Florentine","565047","HF Kip Florentine 404g","FA-NL Kipfilet à la Florentine (FE0224)","FA-NO Kylling à la Florentine (FE0224)","FA-DE Hähnchen à la Florentine (FE0224)","Active","","€4.22","5.20%","3.53","2825","","TRUE","404","479.0","23.20","10.7","22.4","11.9","5.5","41.40","2.05","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Chicken breast","Chicken","Breast","Polenta/Grits","Spinach","Cauliflower Florets","Cheese","Year Round","Italian","","2 CT","FALSE","€1.95","€1.02","€0.36","€0.89","3.32","3.34","3.25","174","FALSE","2,004.0","US","#N/A","3.36","3.22","","Active","FALSE","FALSE","497","119","5.8","2.7","5.5","2.9"
"FE0230D","CON-40-143673-4","CON-00-147828-2","CON-00-136642-3","Italian style chickpea bowl","with quinoa, brown rice, courgette, fennel, and red pepper and basil sauce","Kikkererwtenbowl op Italiaanse wijze","met quinoa, bruine rijst, courgette, venkel, en saus van rode paprika en basilicum","Italiensk kikærtebowl","Kichererbsen-Bowl „Italian Style""","565045","HF Italian Chickpea Bowl 421g","FA-NL Kikkererwtenbowl op Italiaanse wijze (FE0230)","FA-NO Italiensk kikærtebowl (FE0230)","FA-DE Kichererbsen-Bowl „Italian Style"" (FE0230)","Active","","#N/A","0.50%","3.15","977","","TRUE","421","525.0","26.20","3.8","47.1","14.1","12.9","16.30","1.92","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Vegetarian","Vegetarian","Legumes","Grain Mix","Chickpeas","Zucchini Diced","Pepper Mix","Year Round","Italian","","2 CT","TRUE","#N/A","#N/A","#N/A","€0.89","#REF!","#REF!","#REF!","183","FALSE","2,192.0","US","Italiensk kikärtsbowl","","","","Active","FALSE","TRUE","521","125","6.2","0.9","11.2","3.3"
"FE0232D","CON-40-143687-4","CON-00-147829-2","CON-00-136644-3","Chicken in Italian herbs and Parmesan cheese","with garlic and cauliflower puree, roasted green beans and almond ","Kipfilet in Italiaanse kruiden en Parmezaanse kaas","met puree van knoflook en bloemkool, geroosterde sperziebonen en amandelschaafsel","Kylling i italienske krydderurter og parmesanost","Hähnchen in italienischen Kräutern und Parmesan","565040","HF Kipfilet met kruidenkorst 332g","FA-NL Kipfilet in Italiaanse kruiden en Parmezaanse kaas (FE0232)","FA-NO Kylling i italienske krydderurter og parmesanost (FE0232)","FA-DE Huhn in italienischen Kräutern und Parmesan (FE0232)","Hold","","€4.26","7.43%","3.65","32895","","TRUE","332","675.0","50.60","25.2","9.7","6.2","8.3","40.90","2.00","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Chicken breast","Chicken","Breast","Cauliflower Mash","Green Beans","","Nuts","Year Round","Italian","","2 CT","FALSE","€2.16","€0.90","€0.36","€0.89","#REF!","#REF!","#REF!","150","FALSE","2,803.0","US","Kyckling med italienska örter och parmesanost","","","","Hold","FALSE","FALSE","844","203","15.2","7.6","2.9","1.9"
"FE0271B","CON-40-143686-4","CON-00-147831-2","CON-00-136669-3","Cranberry Chicken ","with pumpkinpuree and green beans","Kipfilet in cranberrysaus","met pompoenpuree en sperziebonen","Kylling i tranebærsauce","Cranberry-Hähnchen","565132","","FA-NL Kipfilet in cranberrysaus (FE0271)","FA-NO Kylling i tranebærsauce (FE0271)","FA-DE Cranberry-Hähnchen (FE0271)","Active","","€4.46","","","","","TRUE","424","507.0","19.60","4.7","46.0","28.0","10.5","30.40","1.94","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Chicken breast","Chicken","Breast","Sweet Potato Mash","Pumpkin ","Green Beans","cranberry","Year Round","American","","2 CT","FALSE","€2.15","€1.06","€0.36","€0.89","3.12","3.32","3.28","152","FALSE","2,125.0","US","Kyckling i tranbärssås","3.34","3.36","","Hold","FALSE","TRUE","501","120","4.6","1.1","10.9","6.6"
"FE0281D","CON-40-143708-4","CON-00-147833-2","CON-00-136683-3","Spicy citrus salmon","with cauliflower rice, broccoli and jalapeños","Pittige citrus-zalm","met romige bloemkoolrijst, broccoli en jalapeño's","Krydret citruslaks ","Würziger Zitronenlachs","565087","","FA-NL Pittige citrus-zalm (FE0281)","FA-NO Krydret citruslaks (FE0281)","FA-DE Würziger Zitronenlachs (FE0281)","Hold","BF version without LAB","€6.42","","","","","TRUE","404","571.0","37.00","9.4","18.4","15.0","6.7","37.20","2.03","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Salmon","Salmon","Filet","Cauliflower Rice","Broccoli","","Jalapeno slices","Year Round","Mexican","","2 CT","TRUE","€4.18","€1.01","€0.39","€0.89","#REF!","#REF!","#REF!","206","TRUE","2,379.0","US","Het citronlax ","","","","Graveyard","FALSE","FALSE","589","141","9.2","2.3","4.5","3.7"
"FE0332B","CON-40-143703-4","CON-00-147835-2","CON-00-136645-3","North African style chicken fillet","with lemon rice, roasted carrots and chermoula","Noord-Afrikaanse stijl kipfilet","met citroen-rijst, geroosterde wortels en chermoula","Nordafrikansk-inspireret kyllingefilet ","Hähnchenfilet nach nordafrikanischer Art","565053","HF Noord-Afrikaanse stijl kipfilet 404g","FA-NL Noord-Afrikaanse stijl kipfilet (FE0332)","FA-NO Nordafrikansk-inspireret kyllingefilet (FE0332)","FA-DE Hähnchenfilet nach nordafrikanischer Art (FE0332)","Hold","Cotton seed oil in raisins","€5.25","","3.44","","","TRUE","404","590.0","26.70","3.6","48.9","13.7","8.1","33.90","1.98","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","Chicken breast","Chicken","Breast","Rice","Zucchini Diced","Carrots","Pepper Mix","Year Round","Tunisian","","2 CT","TRUE","€2.81","€1.20","€0.39","€0.89","#REF!","#REF!","#REF!","156","FALSE","2,477.0","US","Nordafrikansk kycklingfilé","","","","Hold","FALSE","TRUE","613","146","6.6","0.9","12.1","3.4"
"FE0410C","CON-40-143671-4","CON-00-147838-2","CON-00-136646-3","Honey-mustard chicken","with rosemary potatoes, carrots and roasted garlic green beans","Honing-mosterd kip","met rozemarijnaardappelen, wortels en geroosterde knoflook-sperziebonen","Kylling med honning og sennep ","Honig-Senf-Hähnchen","565050","HF Honing mosterd kip 404g","FA-NL Honing-mosterd kip (FE0410)","FA-NO Kylling med honning og sennep (FE0410)","FA-DE Honig-Senf-Hähnchen (FE0410)","Hold","Hold until veg quality improves","€4.71","5.49%","3.47","19977","","TRUE","404","603.0","23.30","4.9","54.8","19.1","13.5","35.20","2.00","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Chicken breast","Chicken","Breast","Green Beans","Potato Non-Mash","Carrots","Cupped Sauce","Year Round","American","","2 CT","TRUE","€2.47","€0.96","€0.39","€0.89","#REF!","#REF!","#REF!","163","FALSE","2,527.0","US","Kyckling i honung- och senapssås ","","","","Hold - Rework","FALSE","TRUE","625","149","5.8","1.2","13.6","4.7"
"FE0412C","CON-40-143702-4","CON-00-147837-2","CON-00-136702-3","Mujadara rice bowl","with lentils, carrot and coriander zoug","Mujadara rijstbowl","met linzen, wortel en koriander-zoug","Mujadara ris bowl","Reis-Bowl ""Mujadara""","565094","","FA-NL Mujadara rijstbowl (FE0412)","FA-NO Mujadara ris bowl (FE0412)","FA-DE Reis-Bowl ""Mujadara"" (FE0412)","Active","","€4.18","","","","","TRUE","412","691.0","31.30","4.9","75.4","24.3","19.8","16.00","2.02","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","Vegetarian","Vegetarian","Legumes","Rice","Carrots","Caramelized Onions","Lentils","Year Round","Middle Eastern","","2 CT","TRUE","€1.79","€1.11","€0.39","€0.89","#REF!","#REF!","#REF!","186","FALSE","2,888.0","US","Mujadara risbowl","","","","Active","FALSE","FALSE","701","168","7.6","1.2","18.3","5.9"
"FE0413F","CON-40-143665-4","CON-00-147839-2","CON-00-136698-3","Braised beef in herby jus","with cauliflower puree, broccoli and Emmentaler","Gestoofd rundvlees in kruidige jus","met bloemkoolpuree, broccoli en Emmentaler","Braiseret oksekød i urtesauce","Geschmortes Rindfleisch in Kräuterjus","565089","HF Franse stijl rundvlees","FA-NL Gestoofd rundvlees in kruidige jus (FE0413)","FA-NO Braiseret oksekød i urtesauce (FE0413)","FA-DE Geschmortes Rindfleisch in Kräuterjus (FE0413)","Active","","€4.90","","","","","TRUE","391","640.0","42.60","19.9","14.9","13.3","7.4","45.00","1.92","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Shredded beef","Beef","Shredded","Cauliflower Mash","Caramelized Onions","Broccoli","Compound Butter","Year Round","French","","2 CT","FALSE","€2.45","€1.20","€0.36","€0.89","3.26","3.24","3.20","223","FALSE","2,667.0","US","Bräserad biff i örtsky","3.35","3.00","","Active","FALSE","FALSE","682","164","10.9","5.1","3.8","3.4"
"FE0426B","CON-40-143659-4","CON-00-147840-2","CON-00-136649-3","Grilled chicken fillet and potato leek mash","with roasted corn and zucchini in a butter of herbs and Parmesan cheese","Gegrilde kipfilet en aardappel-preipuree","met geroosterde maïs en courgette in een boter van kruiden en Parmezaanse kaas","Grillet kyllingefilet og kartoffel-porremos","Gegrilltes Hähnchenfilet mit Kartoffel-Lauch-Püree","565035","HF Puree van aardappel en prei met gegrilde kip 416g","FA-NL Gegrilde kipfilet en aardappel-preipuree (FE0426)","FA-NO Grillet kyllingefilet og kartoffel-porremos (FE0426)","FA-DE Gegrilltes Hähnchenfilet mit Kartoffel-Lauch-Püree (FE0426)","Hold","","€4.59","4.82%","3.52","12491","","TRUE","416","459.0","20.80","10.5","32.9","6.6","5.5","31.60","1.40","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Chicken breast","Chicken","Breast","Potato Mash","Corn Kernels","Zucchini Diced","Compound Butter","Year Round","French","","2 CT","FALSE","€2.30","€1.04","€0.36","€0.89","3.34","3.31","3.34","153","FALSE","1,922.0","US","Grillad kycklingfilé med potatis- och purjolöksmos ","3.42","3.27","","Proven","FALSE","FALSE","462","110","5.0","2.5","7.9","1.6"
"FE0430C","CON-40-143738-4","CON-00-147848-2","CON-00-136639-3","Pork tenderloin in red pepper sauce","with mashed potatoes, grilled green beans and caramelized onions","Varkenshaas in rode paprikasaus","met aardappelpuree, sperziebonen en gekaramelliseerde uien","Svinemørbrad i rød peberfrugtsauce","Schweinefilet in Paprika-Sauce","565039","HF Varkenshaas met geroosterde paprika","FA-NL Varkenshaas in rode paprikasaus (FE0430)","FA-NO Svinemørbrad i rød peberfrugtsauce (FE0430)","FA-DE Schweinefilet in Paprika-Sauce (FE0430)","Hold","new version ","€4.74","","","","","FALSE","404","521.0","27.00","10.0","30.7","8.7","11.4","30.00","2.00","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Pork tenderloin","Pork","Tenderloin","Potato Mash","Green Beans","Caramelized Onions","","Year Round","American","","2 CT","FALSE","€2.51","€1.03","€0.36","€0.89","#REF!","#REF!","#REF!","156","FALSE","2,174.0","US","Fläskfilé i paprikasås","","","","Graveyard","FALSE","FALSE","539","129","6.9","2.5","7.6","2.2"
"FE0485F","CON-40-143731-4","CON-00-147845-2","CON-00-138005-2","Rosemary-tomato shredded chicken","with courgette","Tomaat-rozemarijn pulled chicken ","met courgette","Kyllingestrimler med rosmarin og tomat ","Rosmarin-Tomaten-Hähnchen","565127","","FA-NL Tomaat-rozemarijn pulled chicken (FE0485)","FA-NO Kyllingestrimler med rosmarin og tomat (FE0485)","FA-DE Rosmarin-Tomaten-Hähnchen (FE0485)","Active","","€5.12","","","","","TRUE","416","571.0","41.30","22.7","14.1","12.1","4.8","32.60","2.04","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Shredded chicken","Chicken","Shredded","Creamy Sauce Base","Red bell pepper","Zucchini Diced","Compound Butter","Year Round","Italian","","2 CT","FALSE","€2.70","€1.17","€0.36","€0.89","#REF!","#REF!","#REF!","184","FALSE","2,374.0","US","Stimlad kyckling med rosmarin och tomat ","","","","Active","FALSE","FALSE","571","137","9.9","5.5","3.4","2.9"
"FE0516A","CON-40-143733-4","CON-00-147846-2","CON-00-136721-3","Sun-dried tomato trottole","with cream, garlic spinach and courgette","Trottole in zongedroogde tomatensaus","met room, knoflook-spinazie en courgette ","Trottole i soltørret tomatsauce ","Trottole mit getrockneten Tomaten","565111","","FA-NL Trottole in zongedroogde tomatensaus (FE0516)","FA-NO Trottole i soltørret tomatsauce (FE0516)","FA-DE Trottole in einer Sauce aus sonnengetrockneten Tomaten (FE0516)","Active","","€4.12","","","","","TRUE","434","599.0","27.80","10.0","67.3","7.8","5.6","16.10","1.87","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Vegetarian","Vegetarian","Pasta","Pasta","Zucchini Diced","Spinach","Tomato Based Sauce","Year Round","Italian","","2 CT","FALSE","€1.72","€1.15","€0.36","€0.89","2.87","3.35","2.79","234","FALSE","2,504.0","Frankenstein","Trottole i sås på soltorkade tomater","2.50","2.60","","Active","FALSE","FALSE","577","138","6.4","2.3","15.5","1.8"
"FE0612C","CON-40-143751-4","CON-00-147851-2","CON-00-136713-3","Minced beef dish with cheese sauce","with potato, spinach and green beans","Rundergehaktschotel met kaassaus","met aardappel, spinazie en sperziebonen","Hakket oksekødsret med ostesauce","Rindhackfleisch mit Käsesauce","565100","","FA-NL Rundergehaktschotel met kaassaus (FE0612)","FA-NO Hakket oksekødsret med ostesauce (FE0612)","FA-DE Rindhackfleisch mit Käsesauce (FE0612)","Hold","","€3.98","","","","","TRUE","454","522.0","27.20","8.6","35.4","6.8","10.4","26.80","2.00","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Ground beef","Beef","Ground","Potato Non-Mash","Spinach","Broccoli","Green Beans","Year Round","French","","2 CT","FALSE","€1.55","€1.18","€0.36","€0.89","#REF!","#REF!","#REF!","199","FALSE","2,179.0","US","Köttfärsrätt med ostsås","","","","Active - Rework","FALSE","FALSE","480","115","6.0","1.9","7.8","1.5"
"FE0651B","CON-40-143685-4","CON-00-147852-2","CON-00-136680-3","BBQ Chickpeas & Roasted Cabbage ","with creamy polenta and corn","BBQ- kikkererwten & geroosterde kool","met romige polenta en maïs","BBQ-kikærter og ristet kål","BBQ-Kichererbsen und Röst-Kohl","565075","","FA-NL BBQ- kikkererwten & geroosterde kool (FE0651)","FA-NO BBQ-kikærter og ristet kål (FE0651)","FA-DE BBQ-Kichererbsen und Röst-Kohl (FE0651)","Active","","€3.92","","","","","TRUE","404","532.0","21.40","6.9","55.8","18.2","16.6","20.60","1.98","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Vegetarian","Vegetarian","Legumes","Cabbage","Chickpeas","Polenta/Grits","Corn Kernels","Year Round","American","","2 CT","FALSE","€1.47","€1.20","€0.36","€0.89","#REF!","#REF!","#REF!","230","FALSE","2,226.0","US","BBQ-kikärtor och rostad kål","","","","Hold - Rework","FALSE","FALSE","551","132","5.3","1.7","13.8","4.5"
"FE0746A","CON-40-143706-4","CON-00-147857-2","CON-00-136694-3","Spicy ground beef with jalapenos","with cauliflower rice, courgette and coriander crema","Pittig rundergehakt met jalapeno's","met bloemkoolrijst, courgette en koriander-crème","Krydret hakket oksekød med jalapenos","Scharfes Rinderhack mit Jalapeños","565091","HF Beef burrito bowl","FA-NL Pittig rundergehakt met jalapenos (FE0746)","FA-NO Krydret hakkebøf med jalapenos (FE0746)","FA-DE Scharfes Rinderhack mit Jalapeños (FE0746)","Hold","On Hold from W10","€5.08","","","","","TRUE","417","513.0","37.50","17.5","14.2","10.4","5.8","25.00","2.00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Ground beef","Beef","Ground","Cauliflower Rice","Zucchini Diced","Cheese","Jalapeno slices","Year Round","Mexican","","2 CT","TRUE","€2.69","€1.11","€0.39","€0.89","3.30","3.39","3.21","197","FALSE","2,127.0","US","Het nötfärs med jalapenos","3.25","3.11","","Proven","FALSE","FALSE","510","123","9.0","4.2","3.4","2.5"
"FE0778C","CON-40-143704-4","CON-00-147859-2","CON-00-136729-3","Creamy pesto pasta","with roasted vegetables and green beans","Pasta in romige pestosaus","met geroosterde groente en sperziebonen","Cremet pesto pasta ","Cremige Pesto-Pasta ","565112","","FA-NL Pasta in romige pestosaus (FE0778)","FA-NO Cremet pesto pasta (FE0778)","FA-DE Cremige Pesto-Pasta (FE0778)","Active","","€4.25","","","","","TRUE","449","588.0","25.80","9.7","64.9","11.1","11.5","17.60","1.81","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Vegetarian","Vegetarian","Pasta","Pasta","Zucchini Diced","Green Beans","Cherry Tomatoes","Year Round","Italian","","2 CT","FALSE","€1.80","€1.20","€0.36","€0.89","#REF!","#REF!","#REF!","251","FALSE","2,459.0","US","Krämig pasta pesto ","","","","Active","FALSE","FALSE","548","131","5.7","2.2","14.5","2.5"
"FE0849A","CON-40-143654-4","CON-00-147860-2","CON-00-136657-3","Courgette-spaghetti bolognese","with minced beef, mushrooms and mozzarella","Courgette-spaghetti bolognese","met rundergehakt, champignons en mozzarella","Squash-spaghetti bolognese","Zucchini-Spaghetti Bolognese","565060","HF Courgette-spaghetti bolognese 352g","FA-NL Courgette-spaghetti bolognese (FE0849)","FA-NO Squash-spaghetti bolognese (FE0849)","FA-DE Zucchini-Spaghetti Bolognese (FE0849)","Active","","€5.05","","","","","TRUE","352","692.0","56.60","17.9","15.0","10.8","6.6","26.50","1.89","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Ground beef","Beef","Ground","Zucchini Noodles","Mushrooms","Tomato Based Sauce","Cheese","Year Round","Italian","","2 CT","FALSE","€2.76","€1.04","€0.36","€0.89","3.31","3.33","3.27","189","FALSE","2,866.0","US","Zucchini-spaghetti bolognese","3.31","3.28","","Active","FALSE","FALSE","814","196","16.1","5.1","4.3","3.1"
"FE0890B","CON-40-143741-4","CON-00-147861-2","CON-00-136726-3","Pork tenderloin with apple-mustard sauce","with sweet potato puree and green beans ","Varkenshaas met appel-mosterdsaus","met zoete aardappelpuree en sperziebonen ","Svinemørbrad med æble-sennepssauce ","Schweinefilet mit Apfel-Senf-Soße","565117","","FA-NL Varkenshaas met appel-mosterdsaus (FE0890)","FA-NO Svinemørbrad med æble-sennepssauce (FE0890)","FA-DE Schweinefilet mit Apfel-Senf-Soße (FE0890)","Active","","€4.80","","","","","FALSE","439","549.0","24.60","5.4","44.4","18.8","11.3","30.30","2.04","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Pork tenderloin","Pork","Tenderloin","Sweet Potato Mash","Green Beans","Spinach","Cupped Sauce","Fall/Winter","American","","2 CT","TRUE","€2.32","€1.20","€0.39","€0.89","3.13","3.11","3.11","165","FALSE","2,298.0","US","Fläskfilé med äppel- och senapssås","3.27","3.08","","Active","FALSE","FALSE","524","125","5.6","1.2","10.1","4.3"
"FE0928A","CON-40-143753-4","CON-00-147862-2","CON-00-136704-3","Salmon with coriander rice","with tomato sauce, zucchini and chimichurri cream","Zalm met koriander-rijst","met tomatensaus, courgette en chimichurri-crème","Laks med korianderris","Lachs mit Korianderreis","565098","HF Zalm met koriander-rijst","FA-NL Zalm met koriander-rijst (FE0928)","FA-NO Laks med korianderris (FE0928)","FA-DE Lachs mit Korianderreis (FE0928)","Hold","meal is not suitable for autoclave","€6.86","","","","","TRUE","429","556.0","24.50","5.2","46.8","9.4","5.6","33.90","1.93","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Salmon","Salmon","Filet","Rice","Zucchini Diced","","Cupped Sauce","Year Round","Mexican","","2 CT","TRUE","€4.62","€1.01","€0.39","€0.89","#REF!","#REF!","#REF!","169","TRUE","2,329.0","US","Lax med korianderris","","","","Hold","FALSE","TRUE","543","130","5.7","1.2","10.9","2.2"
"FE0935A","CON-40-143749-4","CON-00-147863-2","CON-00-136660-3","Vegetarian stew with white beans","with kale, Italian herbs and potato","Vegetarische stoof met witte bonen","met boerenkool, Italiaanse kruiden en aardappel","Vegetarisk gryderet med hvide bønner","Vegetarischer Bohnen-Eintopf","565065","HF Vegetarische stoof met witte bonen 404g","FA-NL Vegetarische stoof met witte bonen (FE0935)","FA-NO Vegetarisk gryderet med hvide bønner (FE0935)","FA-DE Vegetarischer Bohnen-Eintopf (FE0935)","Active","","€3.40","","","","","TRUE","404","408.0","13.80","4.9","44.7","14.6","14.9","17.30","1.89","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Vegetarian","Vegetarian","Legumes","White Beans","Mushrooms","Potato Non-Mash","","Year Round","Italian","","2 CT","FALSE","€1.19","€0.96","€0.36","€0.89","2.82","3.35","2.79","161","FALSE","1,708.0","US","Vegetarisk gryta med vita bönor","2.50","2.60","","Hospital","FALSE","FALSE","423","101","3.4","1.2","11.1","3.6"
